energy_eV,mu,od,mass_absorption,beta,delta,i0,theta_deg,phi_deg
279.000000,1.57339642e+3,-0.0140336342374536,1573.39642225487,0.0000556404214092364,0.0262253479277992,,55,0
279.100040,1.73197658e+3,-0.00944580676717925,1731.97657918121,0.0000612263784733427,0.0263571389018814,,55,0
279.200350,1.53139511e+3,-0.015248759724527,1531.3951064526,0.000054116257197413,0.0266255402534039,,55,0
279.300570,1.52023539e+3,-0.0155716174776842,1520.23539447732,0.0000537026198753868,0.0268565931024524,,55,0
279.400730,1.44708335e+3,-0.0176879538111553,1447.08335246065,0.0000511001842945713,0.0271205294370753,,55,0
279.500550,1.52541796e+3,-0.0154216823696898,1525.41796359279,0.0000538471404624317,0.0273284215113557,,55,0
279.600860,1.55190320e+3,-0.0146554472582551,1551.90319761719,0.0000547624135582609,0.0275407008991725,,55,0
279.700350,1.43574259e+3,-0.0180160495031882,1435.74258895841,0.0000506454027284596,0.0278315342156565,,55,0
279.801060,1.61708572e+3,-0.0127696743544705,1617.08571918043,0.0000570216975100916,0.028007458546314,,55,0
279.899870,1.55217439e+3,-0.0146476015114041,1552.17438910704,0.0000547134716294761,0.0282568002098577,,55,0
279.999910,1.50037404e+3,-0.0161462195203057,1500.37403685664,0.0000528686357932062,0.0285298915875753,,55,0
280.099820,1.44803606e+3,-0.0176603914242684,1448.03605778056,0.0000510062038519988,0.028823268738589,,55,0
280.200010,1.51387480e+3,-0.0157556337635256,1513.87479533213,0.0000533062666674325,0.0290715014298864,,55,0
280.300290,1.48746467e+3,-0.0165196960670366,1487.46466531365,0.0000523575801658706,0.0293520350324594,,55,0
280.400270,1.43138149e+3,-0.0181422190655305,1431.38148577282,0.0000503655317620501,0.0296605675615631,,55,0
280.498750,1.32716331e+3,-0.0211573189097737,1327.16331071139,0.0000466820471040948,0.0300187121944608,,55,0
280.599820,1.51737727e+3,-0.0156543047463418,1517.37727478462,0.0000533534666433034,0.0302553044454399,,55,0
280.700100,1.35830296e+3,-0.0202564283924936,1358.30296461716,0.0000477430914366074,0.0306378404277521,,55,0
280.798220,1.46788872e+3,-0.0170860408952444,1467.88872172957,0.0000515769003834894,0.0309232424624141,,55,0
280.900730,1.34417287e+3,-0.0206652212001393,1344.1728718866,0.0000472126865603643,0.0313415636494752,,55,0
281.000240,1.63982417e+3,-0.0121118362145804,1639.8241669821,0.0000575767367983157,0.0315582139662197,,55,0
281.100400,1.51851420e+3,-0.0156214127205509,1518.51420128095,0.0000532983604776857,0.031941213724756,,55,0
281.199950,1.45657168e+3,-0.0174134504192177,1456.57167591054,0.0000511061396054119,0.0323452180969231,,55,0
281.299870,1.40778678e+3,-0.0188248293886455,1407.78677719659,0.0000493768983436276,0.0327759737499453,,55,0
281.401060,1.51983850e+3,-0.0155830999066111,1519.8384995651,0.0000532878463149036,0.0331397144273388,,55,0
281.499760,1.46295283e+3,-0.0172288394061527,1462.95283204857,0.0000512753638319398,0.033577660540614,,55,0
281.600490,1.40314421e+3,-0.0189591417968586,1403.14421317047,0.0000491615264235857,0.0340656107759579,,55,0
281.700290,1.34549401e+3,-0.0206269998594346,1345.49400836048,0.0000471249529528516,0.0345968653127501,,55,0
281.800050,1.64585983e+3,-0.0119372206125897,1645.85982759595,0.0000576246412672189,0.0349212976076425,,55,0
281.899900,1.44538983e+3,-0.0177369486146165,1445.38982678389,0.0000505878855592489,0.0355287877098901,,55,0
282.000580,1.53791700e+3,-0.015060077115732,1537.91699898363,0.0000538070709478301,0.0360322102161769,,55,0
282.099300,1.43791602e+3,-0.0179531706609922,1437.91602218523,0.0000502907335072979,0.0366865227824002,,55,0
282.199550,1.72405607e+3,-0.00967495218892722,1724.05607275956,0.0000602769855713623,0.0370738419298506,,55,0
282.251160,1.64996951e+3,-0.0118183247383896,1649.96951273793,0.0000576762000784789,0.0374293787018487,,55,0
282.299650,1.61310570e+3,-0.0128848188540614,1613.10570185575,0.0000563779061291825,0.0377716285573847,,55,0
282.350130,1.56851034e+3,-0.0141749919207131,1568.5103353784,0.0000548095010149622,0.0381720279257571,,55,0
282.397190,1.73215368e+3,-0.00944068318604691,1732.1536778854,0.0000605177126532862,0.0383978234535522,,55,0
282.452730,1.71246548e+3,-0.0100102756812893,1712.46547734498,0.0000598180847778032,0.0387583493246828,,55,0
282.500340,1.67203119e+3,-0.0111800659746846,1672.0311912914,0.0000583958326834054,0.0391153710380878,,55,0
282.550080,1.56829608e+3,-0.0141811906093487,1568.29607513802,0.0000547632326651228,0.0395870846498763,,55,0
282.600160,1.79277903e+3,-0.00768675204915412,1792.7790341632,0.0000625908453023588,0.0398555161565509,,55,0
282.650820,1.60017973e+3,-0.0132587758026713,1600.17972502282,0.0000558566607897803,0.0403526785969949,,55,0
282.700410,1.67815776e+3,-0.011002820220194,1678.15776421589,0.0000585683250044949,0.0407678954055357,,55,0
282.750730,1.67545460e+3,-0.0110810245443551,1675.45459935668,0.0000584635771762113,0.0412296959621843,,55,0
282.798250,1.78306459e+3,-0.00796779713815953,1783.06459424438,0.0000622080824275977,0.0416125519009482,,55,0
282.850190,1.77120754e+3,-0.00831082954550852,1771.20753699001,0.0000617830625683864,0.0420911295922157,,55,0
282.899320,1.73379819e+3,-0.00939310641212376,1733.79818878378,0.0000604676508812393,0.0426104333637942,,55,0
282.950230,1.78693076e+3,-0.00785594643100904,1786.93076026897,0.0000623094803212852,0.0431416524360237,,55,0
282.999630,1.86631607e+3,-0.00555927748315214,1866.31607380109,0.0000650662510207892,0.0436411902179201,,55,0
283.046110,1.84414609e+3,-0.00620066944815166,1844.14609484702,0.0000642827708310959,0.0441801186400812,,55,0
283.101170,1.89274679e+3,-0.00479461955604474,1892.7467917959,0.00006596404967739,0.0448403986467195,,55,0
283.150240,1.93323010e+3,-0.00362341115751377,1933.23009524092,0.0000673632557242226,0.0454626049956319,,55,0
283.200010,2.03231317e+3,-0.000756873242771215,2032.31316567033,0.0000708033525061635,0.0460887387742411,,55,0
283.250640,2.00710633e+3,-0.00148612336013091,2007.10633328643,0.0000699126778411323,0.0468308930237839,,55,0
283.300320,2.09991659e+3,0.00119893792000559,2099.9165886676,0.000073132670923168,0.0475815792755953,,55,0
283.350280,2.22261569e+3,0.00474870314321386,2222.61569402746,0.0000773921988720953,0.0483594253980112,,55,0
283.400210,2.38679111e+3,0.00949840497660132,2386.79110536804,0.0000830941976313851,0.0491486261337183,,55,0
283.449950,2.46015977e+3,0.0116210084578389,2460.15977394331,0.0000856334387016408,0.0500271894456022,,55,0
283.500210,2.54622279e+3,0.0141108677982366,2546.22279341888,0.0000886134146751219,0.051018442733093,,55,0
283.549870,2.77907933e+3,0.0208475594519808,2779.07933097112,0.0000967003280245052,0.0520168891649076,,55,0
283.600220,2.98827071e+3,0.0268996025602182,2988.27070794588,0.000103960851961565,0.0531015209466273,,55,0
283.650020,3.21085140e+3,0.0333390072798903,3210.85139947671,0.000111684741569447,0.054259347304946,,55,0
