,energy_eV,delta_kk
489,306.29987,0.0021129047858713438
490,306.40009,0.0021182128338651752
491,306.49988,0.0021206624147988348
492,306.59589,0.0021136537478202884
493,306.70004,0.0021115870769522565
494,306.80008,0.0021168244901970477
495,306.89996,0.002117424457838752
496,306.99899,0.0021156346098343028
497,307.09998,0.002108274211128271
498,307.20035,0.0020948796576578735
499,307.30084,0.002088810474922364
500,307.40045,0.0020873464836120947
501,307.49948,0.0020811263927432216
502,307.60068,0.0020733841957833858
503,307.7002,0.002060485061944019
504,307.80081,0.002052075793813072
505,307.90018,0.0020471801970064056
506,308.00027,0.0020388893004583603
507,308.1004,0.0020306677843060315
508,308.19977,0.0020200129862059935
509,308.30023,0.002007078428399581
510,308.40036,0.0019974960856592055
511,308.49393,0.0019910231590155535
512,308.60004,0.0019809699600338007
513,308.69983,0.001971796629628737
514,308.80099,0.0019637392749446863
515,308.90024,0.0019551936228824015
516,309.00037,0.0019460336520188278
517,309.10092,0.0019370006346949244
518,309.1991,0.0019306846484293799
519,309.29971,0.001924523784614388
520,309.39981,0.0019167261797812451
521,309.49738,0.0019092941847761702
522,309.60004,0.001902916758948551
523,309.7002,0.00189845738196772
524,309.80057,0.0018924797362498088
525,309.89709,0.0018854234572121915
526,309.99982,0.0018798591972104728
527,310.10098,0.0018742996170570802
528,310.2002,0.0018698376310563362
529,310.30066,0.00186557296731032
530,310.40063,0.0018611389347055133
531,310.50037,0.0018567968965102642
532,310.60034,0.0018511802793325328
533,310.70035,0.001847558385018915
534,310.80124,0.0018439675389729068
535,310.90015,0.0018387009418575598
536,311.00043,0.001834648170614798
537,311.10028,0.001830673938214234
538,311.19937,0.0018273902278207234
539,311.30069,0.0018237304665568912
540,311.39813,0.001819963096107656
541,311.49835,0.001817746860595302
542,311.60028,0.0018141779997345533
543,311.69946,0.0018105125853487233
544,311.80057,0.0018066506561032689
545,311.90009,0.0018033225088517288
546,311.99982,0.0018007943844685372
547,312.10107,0.0017974150131886389
548,312.20078,0.0017937518664662233
549,312.30029,0.0017907279502336327
550,312.40009,0.0017888710371280626
551,312.49921,0.0017864033013553014
552,312.59979,0.0017827206013853105
553,312.70035,0.0017813467466767214
554,312.80081,0.001779814242650434
555,312.90094,0.001776761770783375
556,313.0,0.0017735206036275867
557,313.10229,0.0017717274530668404
558,313.20071,0.0017714326475869492
559,313.30057,0.001768150847472124
560,313.40036,0.0017671484620817351
561,313.50027,0.001766852782017677
562,313.60077,0.0017657826424134068
563,313.69553,0.0017651527364233367
564,313.79959,0.0017623478714717301
565,313.90021,0.0017644829488015351
566,314.00143,0.001765455945547238
567,314.09915,0.0017633399685714763
568,314.20099,0.0017630687116703871
569,314.29773,0.0017627258950927537
570,314.39981,0.0017628647382610051
571,314.50079,0.0017605729852596427
572,314.60043,0.001760958912225994
573,314.69998,0.0017621978574123695
574,314.80115,0.0017604625674112991
575,314.89972,0.0017590988763764095
576,315.0007,0.001757123782334967
577,315.1008,0.0017591247689602786
578,315.19992,0.0017591144893201792
579,315.30124,0.0017575302265355852
580,315.39993,0.0017574588818860771
581,315.50128,0.0017569432601159238
582,315.60098,0.001756200926016942
583,315.69781,0.0017540966304528502
584,315.79962,0.00175309008515719
585,315.89999,0.0017507550012337966
586,315.99872,0.0017504072149107678
587,316.09937,0.0017500881757950236
588,316.20026,0.0017480930334532719
589,316.29919,0.0017463477247684146
590,316.39633,0.0017422647064014606
591,316.49945,0.0017419930744526119
592,316.59952,0.001742031008436964
593,316.70059,0.0017391441636651459
594,316.80057,0.0017361064220464569
595,316.89987,0.001731174055490772
596,317.00052,0.001731476900903442
597,317.10034,0.001731044145304155
598,317.20041,0.001726795666420295
599,317.30127,0.0017243592360415387
600,317.4003,0.0017201506040077376
601,317.5004,0.0017191077159988747
602,317.6008,0.0017168788850958872
603,317.69934,0.0017128683657247892
604,317.80038,0.0017107347996238762
605,317.8999,0.0017069947083964683
606,318.00012,0.0017029826507230362
607,318.10007,0.0017001299130418764
608,318.19925,0.0016977703980518984
609,318.30005,0.0016942569540253293
610,318.40054,0.0016908215472009696
611,318.50046,0.001688469073798707
612,318.5972,0.0016857524920272722
613,318.70026,0.0016832172291437104
614,318.80096,0.0016800638084839756
615,318.90091,0.0016770651874071932
616,318.99997,0.001675334901521057
617,319.10065,0.0016723610982568627
618,319.20004,0.0016696472419168373
619,319.29501,0.0016674428784582691
620,319.40024,0.0016657423891756598
621,319.50122,0.001663238235986546
622,319.6015,0.0016598228021977464
623,319.70059,0.0016583880568155536
624,319.79788,0.0016568452852090576
625,319.90018,0.00165530671192105
626,320.00018,0.0016540859820765035
627,320.10266,0.001651624584948093
628,320.20096,0.0016497326021748056
629,320.30231,0.00164791192314125
630,320.40036,0.0016461904625171679
631,320.50052,0.0016445055286226531
632,320.60001,0.001642866169606513
633,320.69968,0.0016412834270054092
634,320.7999,0.0016397152436536304
635,320.89902,0.0016381877983983096
636,321.00027,0.0016366593229163585
637,321.10059,0.0016351843364940239
638,321.19962,0.001633756587220945
639,321.2999,0.0016323255804944513
640,321.39972,0.001630930458454905
641,321.49933,0.001629571139825516
642,321.59976,0.001628217392820028
643,321.69992,0.001626884663528702
644,321.79996,0.0016255835778846088
645,321.90051,0.001624293888815899
646,322.00055,0.0016230236778706124
647,322.10046,0.0016217813089314764
648,322.20001,0.0016205614597194537
649,322.2998,0.0016193494382724307
650,322.39954,0.001618159930476184
651,322.4985,0.001616997558524609
652,322.59958,0.0016158207639363445
653,322.70108,0.001614657192843909
654,322.79974,0.0016135436724925296
655,322.90051,0.0016124170577422538
656,322.99994,0.0016113187926491712
657,323.10074,0.0016102227904089565
658,323.19989,0.0016091557853285567
659,323.2999,0.0016080896173228144
660,323.39981,0.0016070407726463593
661,323.5,0.0016060003857578666
662,323.60034,0.0016049667280410938
663,323.70056,0.0016039490349702191
664,323.79965,0.0016029540575409544
665,323.90027,0.0016019508085823623
666,323.99756,0.0016009916218872437
667,324.10059,0.0015999882919056736
668,324.20035,0.0015990272717967108
669,324.30063,0.0015980679562822703
670,324.40051,0.0015971208105959363
671,324.49796,0.001596209305653349
672,324.59982,0.0015952692136046154
673,324.6998,0.0015943518388534222
674,324.80005,0.0015934369897920948
675,324.90009,0.0015925288658495652
676,324.99942,0.0015916317568477306
677,325.10031,0.0015907250330556555
678,325.20032,0.0015898315866132045
679,325.30035,0.0015889511807415547
680,325.40024,0.001588083925422315
681,325.49997,0.0015872264452730126
682,325.60062,0.0015863674787205922
683,325.70129,0.001585518033936202
684,325.79999,0.0015846988381539744
685,325.90039,0.001583877158819097
686,326.00049,0.0015830606731090829
687,326.10025,0.001582250484356797
688,326.20343,0.0015814172863340122
689,326.30035,0.0015806400292654585
690,326.39944,0.0015798517435274015
691,326.50049,0.0015790555339159212
692,326.60037,0.001578276981125234
693,326.69998,0.0015775080093451761
694,326.79993,0.0015767426761089845
695,326.90005,0.0015759810835788894
696,327.00012,0.0015752236647291209
697,327.1004,0.0015744672061627732
698,327.20035,0.0015737169099112101
699,327.30069,0.0015729728564080952
700,327.39972,0.001572246256193647
701,327.49997,0.0015715168001323265
702,327.60068,0.001570788411686053
703,327.69968,0.0015700749841374385
704,327.80008,0.0015693524160050108
705,327.9007,0.0015686330354777837
706,328.00064,0.0015679255642135712
707,328.10037,0.0015672255845509788
708,328.20062,0.0015665269987468204
709,328.2998,0.0015658398590541046
710,328.40009,0.001565148065125391
711,328.50098,0.0015644545427343397
712,328.59995,0.0015637777102818949
713,328.6969,0.0015631184161141426
714,328.80197,0.001562408282145251
715,328.90021,0.0015617486346565712
716,329.00034,0.0015610808025085406
717,329.10037,0.0015604183828939746
718,329.2001,0.0015597618320413948
719,329.3002,0.0015591055494344245
720,329.39996,0.001558454036318209
721,329.50024,0.001557801527658646
722,329.59958,0.0015571573551795195
723,329.69962,0.0015565107219189032
724,329.80035,0.0015558615793051364
725,329.89828,0.0015552322074288152
726,330.00015,0.0015545791624763418
727,330.10095,0.0015539344727519353
728,330.20038,0.0015532998477378814
